"990556a5-5f2f-4e00-93be-7a8e9e8f5fbd","51K12345","97707d5b-c172-448d-a6c1-b5181f4cf851",B0001,M0003,,,false,,,2025-08-11 23:58:22.867,2025-08-12 17:52:22.195,0
b44ea145-68ce-4230-9a3b-e2cc18c562eb,"62A43187",ab2ddba7-efe9-41a8-b176-42076eba20a6,B0001,M0006,,,false,,,2025-08-04 12:50:02.540,2025-08-04 12:55:14.939,3
"2efeb5e9-d050-45ce-8b0f-c6807e7099ff","51K48384","59e655c8-a823-4ed2-87e9-841a5f16f8f8",B0038,M0228,,Carnival size L thu 350k,false,,,2025-08-07 11:06:17.170,2025-08-07 12:10:01.213,2
"3928ac4c-c8a2-45f6-ad61-4b78e84467a1","62A17159","03e02086-d9bb-4b06-a44c-43f98a0d093a",B0016,M0090,,,false,,,2025-07-22 10:19:22.014,2025-07-22 11:22:12.648,6
"56c7fa1a-ba44-4b0a-9533-6dd302512da2","51L62321",d79bc8a0-da01-4511-81df-2d737d800fc5,B0036,M0198,,,false,,,2025-07-30 14:27:59.627,2025-07-30 15:38:58.605,2
"3122935d-96f4-4ecb-870c-ce3654300266","51K54415",cdbf0c50-e7c2-4f29-905f-55707f30d7f7,B0012,M0055,,test,false,,,2025-07-22 11:10:20.735,2025-07-26 10:59:12.011,3
"93f77767-727f-4312-91f5-d0acf0350f0f","51L00498","4a154e5a-b474-4b44-aa78-67a92d6cd8ee",B0001,M0006,,,false,,,2025-08-09 08:38:52.702,2025-08-09 09:31:03.843,3
"30c5402f-ef9b-4315-ac7c-da0072e8f19d","51K74469",,B0036,M0198,,,false,,,2025-08-07 17:26:18.340,2025-08-12 01:11:08.891,0
"99c864c1-573f-4592-94a7-7bc739b728d4","51H18248",,B0026,M0139,,Khách nước ngoài,false,,,2025-08-07 11:08:59.670,2025-08-08 07:51:52.920,3
"852a5080-1c75-4e89-ab0a-f91497437939","51G10384",,B0001,M0006,,,false,,,2025-07-30 15:51:12.826,2025-07-30 16:39:57.554,2
dd3f00d3-cd98-4429-bb30-f00e2695c1fd,"51L46281","52cbd101-0dd7-4552-8d59-4907600818d8",B0001,M0004,,,false,,,2025-07-27 15:38:22.172,2025-07-27 16:21:12.016,5
bd572a3a-92f7-4d6e-a195-27f273f4a7d0,"51k91179",,B0011,M0042,,,false,,,2025-07-27 13:01:35.325,2025-07-27 16:39:33.393,4
