1,M0001,Mazda2,S,B0001,false,,,2025-08-12 10:49:39.311,2025-08-12 10:49:39.311,0
2,M0002,CX-3,M,B0001,false,,,2025-08-12 10:49:39.314,2025-08-12 10:49:39.314,0
3,M0003,Mazda3,M,B0001,false,,,2025-08-12 10:49:39.316,2025-08-12 10:49:39.316,0
4,M0004,Mazda6,M,B0001,false,,,2025-08-12 10:49:39.319,2025-08-12 10:49:39.319,0
5,M0005,CX-30,M,B0001,false,,,2025-08-12 10:49:39.320,2025-08-12 10:49:39.320,0
6,M0006,CX-5,M,B0001,false,,,2025-08-12 10:49:39.322,2025-08-12 10:49:39.322,0
7,M0007,CX-8,L,B0001,false,,,2025-08-12 10:49:39.323,2025-08-12 10:49:39.323,0
8,M0008,BT-50,L,B0001,false,,,2025-08-12 10:49:39.324,2025-08-12 10:49:39.324,0
10,M0010,M8,L,B0002,false,,,2025-08-12 10:49:39.327,2025-08-12 10:49:39.327,0
11,M0011,M6 Pro,"",B0002,false,,,2025-08-12 10:49:39.328,2025-08-12 10:49:39.328,0
12,M0012,XC40,M,B0003,false,,,2025-08-12 10:49:39.330,2025-08-12 10:49:39.330,0
13,M0013,XC60,M,B0003,false,,,2025-08-12 10:49:39.331,2025-08-12 10:49:39.331,0
14,M0014,XC90,L,B0003,false,,,2025-08-12 10:49:39.335,2025-08-12 10:49:39.335,0
15,M0015,V90,M,B0003,false,,,2025-08-12 10:49:39.338,2025-08-12 10:49:39.338,0
16,M0016,V60 Cross Country,M,B0003,false,,,2025-08-12 10:49:39.339,2025-08-12 10:49:39.339,0
17,M0017,S90,M,B0003,false,,,2025-08-12 10:49:39.341,2025-08-12 10:49:39.341,0
18,M0018,Fadil,S,B0004,false,,,2025-08-12 10:49:39.342,2025-08-12 10:49:39.342,0
19,M0019,Lux A2.0,M,B0004,false,,,2025-08-12 10:49:39.344,2025-08-12 10:49:39.344,0
20,M0020,Lux SA2.0,M,B0004,false,,,2025-08-12 10:49:39.345,2025-08-12 10:49:39.345,0
21,M0021,President,L,B0004,false,,,2025-08-12 10:49:39.347,2025-08-12 10:49:39.347,0
22,M0022,VF e34,M,B0004,false,,,2025-08-12 10:49:39.349,2025-08-12 10:49:39.349,0
23,M0023,VF 8,M,B0004,false,,,2025-08-12 10:49:39.351,2025-08-12 10:49:39.351,0
24,M0024,VF 5,M,B0004,false,,,2025-08-12 10:49:39.352,2025-08-12 10:49:39.352,0
25,M0025,VF 9,L,B0004,false,,,2025-08-12 10:49:39.353,2025-08-12 10:49:39.353,0
26,M0026,VF 6,M,B0004,false,,,2025-08-12 10:49:39.355,2025-08-12 10:49:39.355,0
27,M0027,VF 7,M,B0004,false,,,2025-08-12 10:49:39.356,2025-08-12 10:49:39.356,0
28,M0028,VF 3,S,B0004,false,,,2025-08-12 10:49:39.357,2025-08-12 10:49:39.357,0
29,M0029,H6,"",B0005,false,,,2025-08-12 10:49:39.358,2025-08-12 10:49:39.358,0
30,M0030,Karoq,"",B0006,false,,,2025-08-12 10:49:39.359,2025-08-12 10:49:39.359,0
31,M0031,Kodiaq,"",B0006,false,,,2025-08-12 10:49:39.361,2025-08-12 10:49:39.361,0
32,M0032,"1500",L,B0007,false,,,2025-08-12 10:49:39.362,2025-08-12 10:49:39.362,0
33,M0033,DBX,L,B0008,false,,,2025-08-12 10:49:39.363,2025-08-12 10:49:39.363,0
34,M0034,Lynk & Co 09,L,B0009,false,,,2025-08-12 10:49:39.365,2025-08-12 10:49:39.365,0
35,M0035,Lynk & Co 06,M,B0009,false,,,2025-08-12 10:49:39.367,2025-08-12 10:49:39.367,0
36,M0036,Lynk & Co 01,M,B0009,false,,,2025-08-12 10:49:39.375,2025-08-12 10:49:39.375,0
37,M0037,Lynk & Co 05,M,B0009,false,,,2025-08-12 10:49:39.376,2025-08-12 10:49:39.376,0
38,M0038,Lynk & Co 03,M,B0009,false,,,2025-08-12 10:49:39.378,2025-08-12 10:49:39.378,0
39,M0039,Y Plus,"",B0010,false,,,2025-08-12 10:49:39.380,2025-08-12 10:49:39.380,0
40,M0040,ES,"",B0010,false,,,2025-08-12 10:49:39.383,2025-08-12 10:49:39.383,0
41,M0041,"718",S,B0011,false,,,2025-08-12 10:49:39.384,2025-08-12 10:49:39.384,0
42,M0042,"911",M,B0011,false,,,2025-08-12 10:49:39.385,2025-08-12 10:49:39.385,0
43,M0043,Taycan,M,B0011,false,,,2025-08-12 10:49:39.386,2025-08-12 10:49:39.386,0
44,M0044,Panamera,M,B0011,false,,,2025-08-12 10:49:39.387,2025-08-12 10:49:39.387,0
45,M0045,Macan,M,B0011,false,,,2025-08-12 10:49:39.389,2025-08-12 10:49:39.389,0
46,M0046,Cayenne,L,B0011,false,,,2025-08-12 10:49:39.390,2025-08-12 10:49:39.390,0
47,M0047,Macan EV,M,B0011,false,,,2025-08-12 10:49:39.392,2025-08-12 10:49:39.392,0
48,M0048,Series 5,M,B0012,false,,,2025-08-12 10:49:39.394,2025-08-12 10:49:39.394,0
49,M0049,Series 7,L,B0012,false,,,2025-08-12 10:49:39.396,2025-08-12 10:49:39.396,0
50,M0050,X1,S,B0012,false,,,2025-08-12 10:49:39.398,2025-08-12 10:49:39.398,0
51,M0051,X3,M,B0012,false,,,2025-08-12 10:49:39.400,2025-08-12 10:49:39.400,0
52,M0052,X4,M,B0012,false,,,2025-08-12 10:49:39.401,2025-08-12 10:49:39.401,0
53,M0053,X6,M,B0012,false,,,2025-08-12 10:49:39.402,2025-08-12 10:49:39.402,0
54,M0054,Z4 Roadster,S,B0012,false,,,2025-08-12 10:49:39.404,2025-08-12 10:49:39.404,0
55,M0055,Series 3,M,B0012,false,,,2025-08-12 10:49:39.405,2025-08-12 10:49:39.405,0
56,M0056,X5,M,B0012,false,,,2025-08-12 10:49:39.406,2025-08-12 10:49:39.406,0
57,M0057,X7,L,B0012,false,,,2025-08-12 10:49:39.407,2025-08-12 10:49:39.407,0
58,M0058,Series 4,M,B0012,false,,,2025-08-12 10:49:39.409,2025-08-12 10:49:39.409,0
59,M0059,i7,L,B0012,false,,,2025-08-12 10:49:39.410,2025-08-12 10:49:39.410,0
60,M0060,Series 8,L,B0012,false,,,2025-08-12 10:49:39.412,2025-08-12 10:49:39.412,0
61,M0061,iX3,M,B0012,false,,,2025-08-12 10:49:39.414,2025-08-12 10:49:39.414,0
62,M0062,i4,M,B0012,false,,,2025-08-12 10:49:39.415,2025-08-12 10:49:39.415,0
63,M0063,XM,L,B0012,false,,,2025-08-12 10:49:39.417,2025-08-12 10:49:39.417,0
