1,B0001,Mazda,false,,,2025-08-12 10:49:39.243,2025-08-12 10:49:39.243,0
2,B0002,GAC,false,,,2025-08-12 10:49:39.246,2025-08-12 10:49:39.246,0
3,B0003,Volvo,false,,,2025-08-12 10:49:39.248,2025-08-12 10:49:39.248,0
4,B0004,Vinfast,false,,,2025-08-12 10:49:39.250,2025-08-12 10:49:39.250,0
5,B0005,Haval,false,,,2025-08-12 10:49:39.251,2025-08-12 10:49:39.251,0
6,B0006,Skoda,false,,,2025-08-12 10:49:39.253,2025-08-12 10:49:39.253,0
7,B0007,RAM,false,,,2025-08-12 10:49:39.254,2025-08-12 10:49:39.254,0
8,B0008,Aston Martin,false,,,2025-08-12 10:49:39.255,2025-08-12 10:49:39.255,0
9,B0009,Lynk & Co,false,,,2025-08-12 10:49:39.257,2025-08-12 10:49:39.257,0
10,B0010,Aion,false,,,2025-08-12 10:49:39.259,2025-08-12 10:49:39.259,0
11,B0011,Porsche,false,,,2025-08-12 10:49:39.260,2025-08-12 10:49:39.260,0
12,B0012,BMW,false,,,2025-08-12 10:49:39.263,2025-08-12 10:49:39.263,0
13,B0013,Mercedes,false,,,2025-08-12 10:49:39.264,2025-08-12 10:49:39.264,0
14,B0014,Omoda,false,,,2025-08-12 10:49:39.266,2025-08-12 10:49:39.266,0
15,B0015,Peugoet,false,,,2025-08-12 10:49:39.268,2025-08-12 10:49:39.268,0
16,B0016,Volkswagen,false,,,2025-08-12 10:49:39.271,2025-08-12 10:49:39.271,0
17,B0017,Isuzu,false,,,2025-08-12 10:49:39.274,2025-08-12 10:49:39.274,0
18,B0018,Audi,false,,,2025-08-12 10:49:39.277,2025-08-12 10:49:39.277,0
19,B0019,Jaguar,false,,,2025-08-12 10:49:39.278,2025-08-12 10:49:39.278,0
20,B0020,MG,false,,,2025-08-12 10:49:39.281,2025-08-12 10:49:39.281,0
21,B0021,Haima,false,,,2025-08-12 10:49:39.282,2025-08-12 10:49:39.282,0
22,B0022,Nissan,false,,,2025-08-12 10:49:39.283,2025-08-12 10:49:39.283,0
23,B0023,HongQi,false,,,2025-08-12 10:49:39.284,2025-08-12 10:49:39.284,0
24,B0024,Subaru,false,,,2025-08-12 10:49:39.285,2025-08-12 10:49:39.285,0
25,B0025,Mini,false,,,2025-08-12 10:49:39.287,2025-08-12 10:49:39.287,0
26,B0026,Ford,false,,,2025-08-12 10:49:39.289,2025-08-12 10:49:39.289,0
27,B0027,Lexus,false,,,2025-08-12 10:49:39.291,2025-08-12 10:49:39.291,0
28,B0028,Jeep,false,,,2025-08-12 10:49:39.292,2025-08-12 10:49:39.292,0
29,B0029,BYD,false,,,2025-08-12 10:49:39.294,2025-08-12 10:49:39.294,0
30,B0030,Honda,false,,,2025-08-12 10:49:39.295,2025-08-12 10:49:39.295,0
31,B0031,Bentley,false,,,2025-08-12 10:49:39.298,2025-08-12 10:49:39.298,0
32,B0032,Maserati,false,,,2025-08-12 10:49:39.300,2025-08-12 10:49:39.300,0
33,B0033,Mitsubishi,false,,,2025-08-12 10:49:39.302,2025-08-12 10:49:39.302,0
34,B0034,Huyndai,false,,,2025-08-12 10:49:39.304,2025-08-12 10:49:39.304,0
35,B0035,Wuling,false,,,2025-08-12 10:49:39.305,2025-08-12 10:49:39.305,0
36,B0036,Toyota,false,,,2025-08-12 10:49:39.306,2025-08-12 10:49:39.306,0
37,B0037,Suzuki,false,,,2025-08-12 10:49:39.307,2025-08-12 10:49:39.307,0
38,B0038,Kia,false,,,2025-08-12 10:49:39.308,2025-08-12 10:49:39.308,0
39,B0039,Land Rover,false,,,2025-08-12 10:49:39.310,2025-08-12 10:49:39.310,0
